timestamp,symbol,side,price,quantity,total,pnl,reason,cash_after,portfolio_value
2026-03-17T00:18:30.735252,BTC/USD,BUY,71020.400000,0.01408046,1000.00,,signal,9000.00,10000.00
2026-03-17T00:18:30.763964,BTC/USD,SELL,74523.500000,0.01408046,1049.33,49.33,backtest_end,10049.33,10049.33
2026-03-17T00:18:32.027518,ETH/USD,BUY,2102.580000,0.47795210,1004.93,,signal,9044.39,10049.33
2026-03-17T00:18:32.058536,ETH/USD,SELL,2322.230000,0.47795210,1109.91,104.98,backtest_end,10154.31,10154.31
2026-03-17T00:18:33.221676,SOL/USD,BUY,87.850000,11.55868804,1015.43,,signal,9138.88,10154.31
2026-03-17T00:18:33.251191,SOL/USD,SELL,93.920000,11.55868804,1085.59,70.16,backtest_end,10224.47,10224.47
2026-03-17T00:33:54.021070,BTC/USD,BUY,71020.400000,0.01408046,1000.00,,signal,9000.00,10000.00
2026-03-17T00:33:54.049538,BTC/USD,SELL,74175.800000,0.01408046,1044.43,44.43,backtest_end,10044.43,10044.43
2026-03-17T00:33:55.230591,ETH/USD,BUY,2102.580000,0.47771925,1004.44,,signal,9039.99,10044.43
2026-03-17T00:33:55.258022,ETH/USD,SELL,2309.670000,0.47771925,1103.37,98.93,backtest_end,10143.36,10143.36
2026-03-17T00:33:56.429858,SOL/USD,BUY,87.850000,11.54622694,1014.34,,signal,9129.02,10143.36
2026-03-17T00:33:56.456612,SOL/USD,SELL,93.580000,11.54622694,1080.50,66.16,backtest_end,10209.52,10209.52
2026-03-17T06:53:37.886082,SOL/USD,BUY,93.400000,10.70663812,1000.00,,signal,9000.00,10000.00
2026-03-17T18:00:56.044773,BTC/USD,BUY,74672.300000,0.06695923,5000.00,,signal,45000.00,50000.00
2026-03-17T18:00:56.048934,ETH/USD,BUY,2336.610000,1.92586696,4500.00,,signal,40500.00,50000.00
2026-03-17T18:00:56.141393,BTC/USD,BUY,74672.300000,0.01339185,1000.00,,signal,9000.00,10000.00
2026-03-17T18:00:56.143291,ETH/USD,BUY,2336.610000,0.38517339,900.00,,signal,8100.00,10000.00
2026-03-17T18:04:13.504087,SOL/USD,BUY,95.490000,8.48256362,810.00,,signal,7290.00,10000.00
2026-03-17T18:04:13.526215,SOL/USD,BUY,95.490000,42.41281810,4050.00,,signal,36450.00,50000.00
2026-03-17T20:00:31.268462,BTC/USD,SELL,73930.000000,0.06695923,4950.30,-49.70,signal,41400.30,49950.30
2026-03-17T20:00:31.269176,BTC/USD,SELL,73930.000000,0.01339185,990.06,-9.94,signal,8280.06,9990.06
2026-03-17T22:13:11.756086,BTC/USD,BUY,74280.100000,0.05573538,4140.03,,signal,37260.27,49950.30
2026-03-17T22:13:11.757094,BTC/USD,BUY,74280.100000,0.01114708,828.01,,signal,7452.05,9990.06
